Year,Volume,Issue,Title,Authors,Cite As,DOI
,,,"Optimal Accounting Rules, Private Benefits of Control, and Efficient Liquidation","Xu Jiang, Ming Yang","Xu Jiang, Ming Yang () Optimal Accounting Rules, Private Benefits of Control, and Efficient Liquidation. Management Science ():",https://doi.org/10.1287/mnsc.2019.03087
,,,When Bonuses Backfire: Evidence from the Workplace,"Jakob Alfitian, Dirk Sliwka, Timo Vogelsang","Jakob Alfitian, Dirk Sliwka, Timo Vogelsang () When Bonuses Backfire: Evidence from the Workplace. Management Science ():",https://doi.org/10.1287/mnsc.2022.00484
,,,Are Financial Statements More Comparable When GAAP Restricts Managers’ Discretion?,Spencer Young,Spencer Young () Are Financial Statements More Comparable When GAAP Restricts Managers’ Discretion?. Management Science ():,https://doi.org/10.1287/mnsc.2023.4961
,,,When Myopic Managers Must Mark to Market,"Adam Kolasinski, Nan Yang","Adam Kolasinski, Nan Yang () When Myopic Managers Must Mark to Market. Management Science ():",https://doi.org/10.1287/mnsc.2020.03249
,,,Are Third-Party Fundamental Valuations Relevant in Public Company Takeovers?,Matthew Shaffer,Matthew Shaffer () Are Third-Party Fundamental Valuations Relevant in Public Company Takeovers?. Management Science ():,https://doi.org/10.1287/mnsc.2023.4959
,,,Information Technology and Credit: Evidence from Public Guarantees,"Fabrizio Core, Filippo De Marco","Fabrizio Core, Filippo De Marco () Information Technology and Credit: Evidence from Public Guarantees. Management Science ():",https://doi.org/10.1287/mnsc.2023.4957
,,,Incentives from Career Concerns in a Contract Package: An Empirical Investigation,"Bicheng Yang, Tat Chan, Hideo Owan, Tsuyoshi Tsuru","Bicheng Yang, Tat Chan, Hideo Owan, Tsuyoshi Tsuru () Incentives from Career Concerns in a Contract Package: An Empirical Investigation. Management Science ():",https://doi.org/10.1287/mnsc.2023.4956
,,,The Benefit of the Doubt: Patent Examination Under Strategic Obfuscation,"Nicolás Figueroa, Jorge Lemus","Nicolás Figueroa, Jorge Lemus () The Benefit of the Doubt: Patent Examination Under Strategic Obfuscation. Management Science ():",https://doi.org/10.1287/mnsc.2023.00140
,,,Spanning Analysis of Stock Market Anomalies Under Prospect Stochastic Dominance,"Stelios Arvanitis, Olivier Scaillet, Nikolas Topaloglou","Stelios Arvanitis, Olivier Scaillet, Nikolas Topaloglou () Spanning Analysis of Stock Market Anomalies Under Prospect Stochastic Dominance. Management Science ():",https://doi.org/10.1287/mnsc.2023.4953
,,,The Value of Virtual Engagement: Evidence from a Running Platform,"Che-Wei Liu, Weiguang Wang, Guodong (Gordon) Gao, Ritu Agarwal","Che-Wei Liu, Weiguang Wang, Guodong (Gordon) Gao, Ritu Agarwal () The Value of Virtual Engagement: Evidence from a Running Platform. Management Science ():",https://doi.org/10.1287/mnsc.2023.4945
,,,Optimal Portfolio Choice with Unknown Benchmark Efficiency,"Raymond Kan, Xiaolu Wang","Raymond Kan, Xiaolu Wang () Optimal Portfolio Choice with Unknown Benchmark Efficiency. Management Science ():",https://doi.org/10.1287/mnsc.2021.01767
,,,A Bayesian Hierarchical Model of Crowd Wisdom Based on Predicting Opinions of Others,"John McCoy, Drazen Prelec","John McCoy, Drazen Prelec () A Bayesian Hierarchical Model of Crowd Wisdom Based on Predicting Opinions of Others. Management Science ():",https://doi.org/10.1287/mnsc.2023.4955
,,,Selling Assets: Are Sellers Better Off with Strong Buyers?,"Robert Marquez, Rajdeep Singh","Robert Marquez, Rajdeep Singh () Selling Assets: Are Sellers Better Off with Strong Buyers?. Management Science ():",https://doi.org/10.1287/mnsc.2023.4938
,,,Ambiguous Dynamic Treatment Regimes: A Reinforcement Learning Approach,Soroush Saghafian,Soroush Saghafian () Ambiguous Dynamic Treatment Regimes: A Reinforcement Learning Approach. Management Science ():,https://doi.org/10.1287/mnsc.2022.00883
,,,(How) Does User-Generated Content Impact Content Generated by Professionals? Evidence from Local News,"Ananya Sen, Tom Grad, Pedro Ferreira, Jörg Claussen","Ananya Sen, Tom Grad, Pedro Ferreira, Jörg Claussen () (How) Does User-Generated Content Impact Content Generated by Professionals? Evidence from Local News. Management Science ():",https://doi.org/10.1287/mnsc.2023.4962
,,,Too Much Information: When Does Additional Testing Benefit Schools?,"Vanitha Virudachalam, Sergei Savin, Matthew P. Steinberg","Vanitha Virudachalam, Sergei Savin, Matthew P. Steinberg () Too Much Information: When Does Additional Testing Benefit Schools?. Management Science ():",https://doi.org/10.1287/mnsc.2020.01547
,,,Virtual Shareholder Meetings,"Francois Brochet, Roman Chychyla, Fabrizio Ferri","Francois Brochet, Roman Chychyla, Fabrizio Ferri () Virtual Shareholder Meetings. Management Science ():",https://doi.org/10.1287/mnsc.2023.4946
,,,Information Reliability and Market Outcomes,"Chihoon Cho, Richard Frankel, Xiumin Martin","Chihoon Cho, Richard Frankel, Xiumin Martin () Information Reliability and Market Outcomes. Management Science ():",https://doi.org/10.1287/mnsc.2021.03758
,,,Friend or Foe? Teaming Between Artificial Intelligence and Workers with Variation in Experience,"Weiguang Wang, Guodong (Gordon) Gao, Ritu Agarwal","Weiguang Wang, Guodong (Gordon) Gao, Ritu Agarwal () Friend or Foe? Teaming Between Artificial Intelligence and Workers with Variation in Experience. Management Science ():",https://doi.org/10.1287/mnsc.2021.00588
,,,Dynamic Pricing with External Information and Inventory Constraint,"Xiaocheng Li, Zeyu Zheng","Xiaocheng Li, Zeyu Zheng () Dynamic Pricing with External Information and Inventory Constraint. Management Science ():",https://doi.org/10.1287/mnsc.2023.4963
,,,Bandits atop Reinforcement Learning: Tackling Online Inventory Models with Cyclic Demands,"Xiao-Yue Gong, David Simchi-Levi","Xiao-Yue Gong, David Simchi-Levi () Bandits atop Reinforcement Learning: Tackling Online Inventory Models with Cyclic Demands. Management Science ():",https://doi.org/10.1287/mnsc.2023.4947
,,,"Help-and-Haggle: Social Commerce Through Randomized, All-or-Nothing Discounts","Luyi Yang, Chen Jin, Zhen Shao","Luyi Yang, Chen Jin, Zhen Shao () Help-and-Haggle: Social Commerce Through Randomized, All-or-Nothing Discounts. Management Science ():",https://doi.org/10.1287/mnsc.2023.4948
,,,Debtors at Play: Gaming Behavior and Consumer Credit Risk,"Shuaishuai Gong, Ross Levine, Chen Lin, Wensi Xie","Shuaishuai Gong, Ross Levine, Chen Lin, Wensi Xie () Debtors at Play: Gaming Behavior and Consumer Credit Risk. Management Science ():",https://doi.org/10.1287/mnsc.2023.4931
,,,The Editor and the Algorithm: Recommendation Technology in Online News,"Christian Peukert, Ananya Sen, Jörg Claussen","Christian Peukert, Ananya Sen, Jörg Claussen () The Editor and the Algorithm: Recommendation Technology in Online News. Management Science ():",https://doi.org/10.1287/mnsc.2023.4954
,,,The Stickiness of Category Labels: Audience Perception and Evaluation of Producer Repositioning in Creative Markets,"Balázs Kovács, Greta Hsu, Amanda Sharkey","Balázs Kovács, Greta Hsu, Amanda Sharkey () The Stickiness of Category Labels: Audience Perception and Evaluation of Producer Repositioning in Creative Markets. Management Science ():",https://doi.org/10.1287/mnsc.2021.02070
,,,The Challenge of Understanding What Users Want: Inconsistent Preferences and Engagement Optimization,"Jon Kleinberg, Sendhil Mullainathan, Manish Raghavan","Jon Kleinberg, Sendhil Mullainathan, Manish Raghavan () The Challenge of Understanding What Users Want: Inconsistent Preferences and Engagement Optimization. Management Science ():",https://doi.org/10.1287/mnsc.2022.03683
,,,Dynamic Information Regimes in Financial Markets,"Paul Glasserman, Harry Mamaysky, Yiwen Shen","Paul Glasserman, Harry Mamaysky, Yiwen Shen () Dynamic Information Regimes in Financial Markets. Management Science ():",https://doi.org/10.1287/mnsc.2021.01213
,,,The Effect of Language on Income Smoothing: Cross-Country Evidence,"Wenjiao Cao, Linda A. Myers, Zhifang Zhang","Wenjiao Cao, Linda A. Myers, Zhifang Zhang () The Effect of Language on Income Smoothing: Cross-Country Evidence. Management Science ():",https://doi.org/10.1287/mnsc.2021.01753
,,,Current Account Uncertainty and Currency Premia,"Pasquale Della Corte, Aleksejs Krecetovs","Pasquale Della Corte, Aleksejs Krecetovs () Current Account Uncertainty and Currency Premia. Management Science ():",https://doi.org/10.1287/mnsc.2023.4949
,,,The Global Determinants of International Equity Risk Premiums,"Juan M. Londono, Nancy R. Xu","Juan M. Londono, Nancy R. Xu () The Global Determinants of International Equity Risk Premiums. Management Science ():",https://doi.org/10.1287/mnsc.2023.4958
,,,Market Liquidity and Competition Among Designated Market Makers,"Mario Bellia, Loriana Pelizzon, Marti G. Subrahmanyam, Darya Yuferova","Mario Bellia, Loriana Pelizzon, Marti G. Subrahmanyam, Darya Yuferova () Market Liquidity and Competition Among Designated Market Makers. Management Science ():",https://doi.org/10.1287/mnsc.2022.01801
,,,Investor Logins and the Disposition Effect,"Edika Quispe-Torreblanca, John Gathergood, George Loewenstein, Neil Stewart","Edika Quispe-Torreblanca, John Gathergood, George Loewenstein, Neil Stewart () Investor Logins and the Disposition Effect. Management Science ():",https://doi.org/10.1287/mnsc.2022.00359
,,,Should Bank Stress Tests Be Fair?,"Paul Glasserman, Mike Li","Paul Glasserman, Mike Li () Should Bank Stress Tests Be Fair?. Management Science ():",https://doi.org/10.1287/mnsc.2022.02060
,,,Measuring the Quality of Mergers and Acquisitions,"Atif Ellahie, Shenje Hshieh, Feng Zhang","Atif Ellahie, Shenje Hshieh, Feng Zhang () Measuring the Quality of Mergers and Acquisitions. Management Science ():",https://doi.org/10.1287/mnsc.2023.01225
,,,Measuring Intangible Capital with Market Prices,"Michael Ewens, Ryan H. Peters, Sean Wang","Michael Ewens, Ryan H. Peters, Sean Wang () Measuring Intangible Capital with Market Prices. Management Science ():",https://doi.org/10.1287/mnsc.2021.02058
,,,On Customer (Dis-)Honesty in Unobservable Queues: The Role of Lying Aversion,"Arturo Estrada Rodriguez, Rouba Ibrahim, Dongyuan Zhan","Arturo Estrada Rodriguez, Rouba Ibrahim, Dongyuan Zhan () On Customer (Dis-)Honesty in Unobservable Queues: The Role of Lying Aversion. Management Science ():",https://doi.org/10.1287/mnsc.2022.04036
,,,Can Random Friends Seed More Buzz and Adoption? Leveraging the Friendship Paradox,"Vineet Kumar, K. Sudhir","Vineet Kumar, K. Sudhir () Can Random Friends Seed More Buzz and Adoption? Leveraging the Friendship Paradox. Management Science ():",https://doi.org/10.1287/mnsc.2024.4991
,,,The Financial Consequences of Online Review Aggregators: Evidence from Yelp Ratings and SBA Loans,Ruidi Huang,Ruidi Huang () The Financial Consequences of Online Review Aggregators: Evidence from Yelp Ratings and SBA Loans. Management Science ():,https://doi.org/10.1287/mnsc.2020.03003
,,,"Taylor Approximation of Inventory Policies for One-Warehouse, Multi-Retailer Systems with Demand Feature Information","Jingkai Huang, Kevin Shang, Yi Yang, Weihua Zhou, Yuan Li","Jingkai Huang, Kevin Shang, Yi Yang, Weihua Zhou, Yuan Li () Taylor Approximation of Inventory Policies for One-Warehouse, Multi-Retailer Systems with Demand Feature Information. Management Science ():",https://doi.org/10.1287/mnsc.2021.04241
,,,Friends with Health Benefits: A Field Experiment,"Rachel Gershon, Cynthia Cryder, Katherine L. Milkman","Rachel Gershon, Cynthia Cryder, Katherine L. Milkman () Friends with Health Benefits: A Field Experiment. Management Science ():",https://doi.org/10.1287/mnsc.2022.01401
,,,Treatment Allocation with Strategic Agents,Evan Munro,Evan Munro () Treatment Allocation with Strategic Agents. Management Science ():,https://doi.org/10.1287/mnsc.2022.01629
,,,What Makes HFTs Tick? Tick Size Changes and Information Advantage in a Market with Fast and Slow Traders,"Alain P. Chaboud, Avery Dao, Clara Vega, Filip Zikes","Alain P. Chaboud, Avery Dao, Clara Vega, Filip Zikes () What Makes HFTs Tick? Tick Size Changes and Information Advantage in a Market with Fast and Slow Traders. Management Science ():",https://doi.org/10.1287/mnsc.2022.02935
,,,A Better Estimate of Internally Generated Intangible Capital,"Aneel Iqbal, Shiva Rajgopal, Anup Srivastava, Rong Zhao","Aneel Iqbal, Shiva Rajgopal, Anup Srivastava, Rong Zhao () A Better Estimate of Internally Generated Intangible Capital. Management Science ():",https://doi.org/10.1287/mnsc.2022.01703
,,,Liquidity Risk and Currency Premia,"Paul Söderlind, Fabricius Somogyi","Paul Söderlind, Fabricius Somogyi () Liquidity Risk and Currency Premia. Management Science ():",https://doi.org/10.1287/mnsc.2023.01031
,,,Communication Within Firms: Evidence from CEO Turnovers,"Stephen Michael Impink, Andrea Prat, Raffaella Sadun","Stephen Michael Impink, Andrea Prat, Raffaella Sadun () Communication Within Firms: Evidence from CEO Turnovers. Management Science ():",https://doi.org/10.1287/mnsc.2022.02719
,,,Gentrification and Racial Distrust in Communities: Evidence from 911 Calls,"Uttara M. Ananthakrishnan, Sharique Hasan, Anuj Kumar","Uttara M. Ananthakrishnan, Sharique Hasan, Anuj Kumar () Gentrification and Racial Distrust in Communities: Evidence from 911 Calls. Management Science ():",https://doi.org/10.1287/mnsc.2022.00362
,,,Understanding the Impact of Reviews on Consumer Product Choices Under Negotiated Pricing,"Jisu Cao, Sha Yang","Jisu Cao, Sha Yang () Understanding the Impact of Reviews on Consumer Product Choices Under Negotiated Pricing. Management Science ():",https://doi.org/10.1287/mnsc.2020.02658
,,,Uncovering Sophisticated Discrimination with the Help of Credence Goods Markups: Evidence from a Natural Field Experiment,"Jonathan Hall, Rudolf Kerschbamer, Daniel Neururer, Eric Skoog","Jonathan Hall, Rudolf Kerschbamer, Daniel Neururer, Eric Skoog () Uncovering Sophisticated Discrimination with the Help of Credence Goods Markups: Evidence from a Natural Field Experiment. Management Science ():",https://doi.org/10.1287/mnsc.2022.02666
,,,Salient Cues and Complexity,"Markus Dertwinkel-Kalt, Mats Köster","Markus Dertwinkel-Kalt, Mats Köster () Salient Cues and Complexity. Management Science ():",https://doi.org/10.1287/mnsc.2022.00652
,,,Distortions Caused by Lending Fee Retention,"Travis L. Johnson, Gregory Weitzner","Travis L. Johnson, Gregory Weitzner () Distortions Caused by Lending Fee Retention. Management Science ():",https://doi.org/10.1287/mnsc.2021.01390
,,,Nonperforming Loan Disposals Without Resolution,"Ben Charoenwong, Meng Miao, Tianyue Ruan","Ben Charoenwong, Meng Miao, Tianyue Ruan () Nonperforming Loan Disposals Without Resolution. Management Science ():",https://doi.org/10.1287/mnsc.2022.02163
,,,Sharpen Your Sword for Litigation: Incumbent Strategic Reaction to the Threat of Entry,"Annamaria Conti, Leonardo Ortega, Elie Sung","Annamaria Conti, Leonardo Ortega, Elie Sung () Sharpen Your Sword for Litigation: Incumbent Strategic Reaction to the Threat of Entry. Management Science ():",https://doi.org/10.1287/mnsc.2023.00900
,,,Strategy-Proof Multi-Issue Mediation: An Application to Online Dispute Resolution,"Onur Kesten, Selçuk Özyurt","Onur Kesten, Selçuk Özyurt () Strategy-Proof Multi-Issue Mediation: An Application to Online Dispute Resolution. Management Science ():",https://doi.org/10.1287/mnsc.2023.00383
,,,"Inflation, Monetary Policy, and Portfolio Decisions of U.S. Households","Yosef Bonaparte, George M. Korniotis, Alok Kumar, Melina Vosse","Yosef Bonaparte, George M. Korniotis, Alok Kumar, Melina Vosse () Inflation, Monetary Policy, and Portfolio Decisions of U.S. Households. Management Science ():",https://doi.org/10.1287/mnsc.2023.02197
,,,Optimal Contracts for Time-Inconsistent Consumers with Heterogeneous Beliefs,"Buqu Gao, Liang Guo","Buqu Gao, Liang Guo () Optimal Contracts for Time-Inconsistent Consumers with Heterogeneous Beliefs. Management Science ():",https://doi.org/10.1287/mnsc.2022.02653
,,,Fintech Platforms and Mutual Fund Distribution,"Claire Yurong Hong, Xiaomeng Lu, Jun Pan","Claire Yurong Hong, Xiaomeng Lu, Jun Pan () Fintech Platforms and Mutual Fund Distribution. Management Science ():",https://doi.org/10.1287/mnsc.2022.01966
,,,Traceability Technology Adoption in Supply Chain Networks,"Philippe Blaettchen, Andre P. Calmon, Georgina Hall","Philippe Blaettchen, Andre P. Calmon, Georgina Hall () Traceability Technology Adoption in Supply Chain Networks. Management Science ():",https://doi.org/10.1287/mnsc.2022.01759
,,,Submodular Order Functions and Assortment Optimization,Rajan Udwani,Rajan Udwani () Submodular Order Functions and Assortment Optimization. Management Science ():,https://doi.org/10.1287/mnsc.2021.04108
,,,From Feeds to Inboxes: A Comparative Study of Polarization in Facebook and Email News Sharing,"Hema Yoganarasimhan, Irina Iakovetskaia","Hema Yoganarasimhan, Irina Iakovetskaia () From Feeds to Inboxes: A Comparative Study of Polarization in Facebook and Email News Sharing. Management Science ():",https://doi.org/10.1287/mnsc.2023.04134
,,,Intermediary Capital and the Credit Market,"Milton Harris, Christian C. Opp, Marcus M. Opp","Milton Harris, Christian C. Opp, Marcus M. Opp () Intermediary Capital and the Credit Market. Management Science ():",https://doi.org/10.1287/mnsc.2020.01536
,,,Exercising Market Power Without Using Prices: Service Time in Online Grocery,"Itai Ater, Adi Shany","Itai Ater, Adi Shany () Exercising Market Power Without Using Prices: Service Time in Online Grocery. Management Science ():",https://doi.org/10.1287/mnsc.2022.01820
,,,The Bullwhip Effect in Servitized Manufacturers,"Yimeng Niu, Jing Wu, Shenyang Jiang, Zhibin Jiang","Yimeng Niu, Jing Wu, Shenyang Jiang, Zhibin Jiang () The Bullwhip Effect in Servitized Manufacturers. Management Science ():",https://doi.org/10.1287/mnsc.2023.01026
,,,The Impact of Exchange-Traded Fund Index Inclusion on Stock Prices,"John Duffy, Daniel Friedman, Jean Paul Rabanal, Olga A. Rud","John Duffy, Daniel Friedman, Jean Paul Rabanal, Olga A. Rud () The Impact of Exchange-Traded Fund Index Inclusion on Stock Prices. Management Science ():",https://doi.org/10.1287/mnsc.2022.02125
,,,Understanding Labor Market Discrimination Against Transgender People: Evidence from a Double List Experiment and a Survey,"Billur Aksoy, Christopher S. Carpenter, Dario Sansone","Billur Aksoy, Christopher S. Carpenter, Dario Sansone () Understanding Labor Market Discrimination Against Transgender People: Evidence from a Double List Experiment and a Survey. Management Science ():",https://doi.org/10.1287/mnsc.2023.02567
,,,Remote Work and Job Applicant Diversity: Evidence from Technology Startups,"David H. Hsu, Prasanna B. Tambe","David H. Hsu, Prasanna B. Tambe () Remote Work and Job Applicant Diversity: Evidence from Technology Startups. Management Science ():",https://doi.org/10.1287/mnsc.2022.03391
,,,Earnings Management via Not-Wholly-Owned Subsidiaries,"Mei Luo, Frank Zhang, Xinyi Zhang","Mei Luo, Frank Zhang, Xinyi Zhang () Earnings Management via Not-Wholly-Owned Subsidiaries. Management Science ():",https://doi.org/10.1287/mnsc.2022.03090
,,,Online Advertisement Allocation Under Customer Choices and Algorithmic Fairness,"Xiaolong Li, Ying Rong, Renyu Zhang, Huan Zheng","Xiaolong Li, Ying Rong, Renyu Zhang, Huan Zheng () Online Advertisement Allocation Under Customer Choices and Algorithmic Fairness. Management Science ():",https://doi.org/10.1287/mnsc.2021.04091
